3 to 3090,,Channel 1,,,,
Date,Time,Voltage (V),Conc. CO2 (ppm),Time Elapsed,Discharge,Mol CO2
6/13/2019,12:36:58 PM,0.046,460,2355,,
6/13/2019,12:37:03 PM,0.049,490,2360,,
6/13/2019,12:37:08 PM,0.0535,535,2365,,
6/13/2019,12:37:13 PM,0.059,590,2370,,
6/13/2019,12:37:18 PM,0.0655,655,2375,,
6/13/2019,12:37:23 PM,0.0735,735,2380,,
6/13/2019,12:37:28 PM,0.083,830,2385,,
6/13/2019,12:37:33 PM,0.094,940,2390,,
6/13/2019,12:37:38 PM,0.106,1060,2395,,
6/13/2019,12:37:43 PM,0.118,1180,2400,,
6/13/2019,12:37:48 PM,0.1295,1295,2405,,
6/13/2019,12:37:53 PM,0.141,1410,2410,,
6/13/2019,12:37:58 PM,0.152,1520,2415,,
6/13/2019,12:38:03 PM,0.1625,1625,2420,,
6/13/2019,12:38:08 PM,0.1725,1725,2425,,
6/13/2019,12:38:13 PM,0.182,1820,2430,,
6/13/2019,12:38:18 PM,0.1915,1915,2435,,
6/13/2019,12:38:23 PM,0.201,2010,2440,,
