Date,Time,Voltage (V)
6/13/2019,11:58:26 AM,0.6255
6/13/2019,11:58:31 AM,0.623
6/13/2019,11:58:36 AM,0.621
6/13/2019,11:58:41 AM,0.6205
6/13/2019,11:58:46 AM,0.621
6/13/2019,11:58:51 AM,0.621
6/13/2019,11:58:56 AM,0.6215
6/13/2019,11:59:01 AM,0.622
6/13/2019,11:59:06 AM,0.6235
6/13/2019,11:59:11 AM,0.6245
6/13/2019,11:59:16 AM,0.6255
6/13/2019,11:59:21 AM,0.6275
6/13/2019,11:59:26 AM,0.6285
6/13/2019,11:59:31 AM,0.6275
6/13/2019,11:59:36 AM,0.627
6/13/2019,11:59:41 AM,0.6265
6/13/2019,11:59:46 AM,0.626
6/13/2019,11:59:51 AM,0.624
6/13/2019,11:59:56 AM,0.6225
6/13/2019,12:00:01 PM,0.621
6/13/2019,12:00:06 PM,0.621
6/13/2019,12:00:11 PM,0.6225
6/13/2019,12:00:16 PM,0.6235
6/13/2019,12:00:21 PM,0.623
6/13/2019,12:00:26 PM,0.622
6/13/2019,12:00:31 PM,0.6215
6/13/2019,12:00:36 PM,0.6235
6/13/2019,12:00:41 PM,0.6245
6/13/2019,12:00:46 PM,0.626
6/13/2019,12:00:51 PM,0.6265
6/13/2019,12:00:56 PM,0.6275
6/13/2019,12:01:01 PM,0.628
6/13/2019,12:01:06 PM,0.628
6/13/2019,12:01:11 PM,0.6275
6/13/2019,12:01:16 PM,0.627
6/13/2019,12:01:21 PM,0.627
6/13/2019,12:01:26 PM,0.627
6/13/2019,12:01:31 PM,0.627
6/13/2019,12:01:36 PM,0.6255
6/13/2019,12:01:41 PM,0.624
6/13/2019,12:01:46 PM,0.623
6/13/2019,12:01:51 PM,0.6245
6/13/2019,12:01:56 PM,0.6265
6/13/2019,12:02:01 PM,0.627
6/13/2019,12:02:06 PM,0.627
6/13/2019,12:02:11 PM,0.627
6/13/2019,12:02:16 PM,0.628
6/13/2019,12:02:21 PM,0.6265
6/13/2019,12:02:26 PM,0.6255
6/13/2019,12:02:31 PM,0.6255
6/13/2019,12:02:36 PM,0.628
6/13/2019,12:02:41 PM,0.6305
6/13/2019,12:02:46 PM,0.631
6/13/2019,12:02:51 PM,0.631
6/13/2019,12:02:56 PM,0.63
6/13/2019,12:03:01 PM,0.6305
6/13/2019,12:03:06 PM,0.63
6/13/2019,12:03:11 PM,0.6295
6/13/2019,12:03:16 PM,0.629
6/13/2019,12:03:21 PM,0.629
6/13/2019,12:03:26 PM,0.629
6/13/2019,12:03:31 PM,0.628
6/13/2019,12:03:36 PM,0.628
6/13/2019,12:03:41 PM,0.629
6/13/2019,12:03:46 PM,0.6295
6/13/2019,12:03:51 PM,0.6295
6/13/2019,12:03:56 PM,0.6285
6/13/2019,12:04:01 PM,0.627
6/13/2019,12:04:06 PM,0.6255
6/13/2019,12:04:11 PM,0.626
6/13/2019,12:04:16 PM,0.627
6/13/2019,12:04:21 PM,0.6275
6/13/2019,12:04:26 PM,0.6275
6/13/2019,12:04:31 PM,0.6275
6/13/2019,12:04:36 PM,0.6285
6/13/2019,12:04:41 PM,0.63
6/13/2019,12:04:46 PM,0.6305
6/13/2019,12:04:51 PM,0.6305
6/13/2019,12:04:56 PM,0.63
6/13/2019,12:05:01 PM,0.6295
6/13/2019,12:05:06 PM,0.628
6/13/2019,12:05:11 PM,0.6265
6/13/2019,12:05:16 PM,0.6265
6/13/2019,12:05:21 PM,0.627
6/13/2019,12:05:26 PM,0.628
6/13/2019,12:05:31 PM,0.628
6/13/2019,12:05:36 PM,0.6275
6/13/2019,12:05:41 PM,0.6265
6/13/2019,12:05:46 PM,0.6265
6/13/2019,12:05:51 PM,0.6275
6/13/2019,12:05:56 PM,0.628
6/13/2019,12:06:01 PM,0.6275
6/13/2019,12:06:06 PM,0.627
6/13/2019,12:06:11 PM,0.627
6/13/2019,12:06:16 PM,0.6275
6/13/2019,12:06:21 PM,0.628
6/13/2019,12:06:26 PM,0.6285
6/13/2019,12:06:31 PM,0.6285
6/13/2019,12:06:36 PM,0.6275
6/13/2019,12:06:41 PM,0.6275
6/13/2019,12:06:46 PM,0.628
6/13/2019,12:06:51 PM,0.6295
6/13/2019,12:06:56 PM,0.6295
6/13/2019,12:07:01 PM,0.629
6/13/2019,12:07:06 PM,0.6295
6/13/2019,12:07:11 PM,0.631
6/13/2019,12:07:16 PM,0.6315
6/13/2019,12:07:21 PM,0.631
6/13/2019,12:07:26 PM,0.63
6/13/2019,12:07:31 PM,0.629
6/13/2019,12:07:36 PM,0.6285
6/13/2019,12:07:41 PM,0.6285
6/13/2019,12:07:46 PM,0.63
6/13/2019,12:07:51 PM,0.632
6/13/2019,12:07:56 PM,0.6325
6/13/2019,12:08:01 PM,0.631
6/13/2019,12:08:06 PM,0.6285
6/13/2019,12:08:11 PM,0.6265
6/13/2019,12:08:16 PM,0.625
6/13/2019,12:08:21 PM,0.625
6/13/2019,12:08:26 PM,0.625
6/13/2019,12:08:31 PM,0.6255
6/13/2019,12:08:36 PM,0.6265
6/13/2019,12:08:41 PM,0.6285
6/13/2019,12:08:46 PM,0.631
6/13/2019,12:08:51 PM,0.633
6/13/2019,12:08:56 PM,0.633
6/13/2019,12:09:01 PM,0.633
6/13/2019,12:09:06 PM,0.633
6/13/2019,12:09:11 PM,0.6325
6/13/2019,12:09:16 PM,0.631
6/13/2019,12:09:21 PM,0.6295
