"Plot Title: EC Logger 2"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °F (LGR S/N: 20636127, SEN S/N: 20636127)","Coupler Detached (LGR S/N: 20636127)","Coupler Attached (LGR S/N: 20636127)","Host Connected (LGR S/N: 20636127)","Stopped (LGR S/N: 20636127)","End Of File (LGR S/N: 20636127)"
264,07/18/19 06:45:00 AM,7.0,41.72,,,,,
265,07/18/19 07:00:00 AM,7.8,41.68,,,,,
266,07/18/19 07:15:00 AM,7.8,41.72,,,,,
267,07/18/19 07:30:00 AM,7.0,41.74,,,,,
268,07/18/19 07:45:00 AM,7.8,41.74,,,,,
269,07/18/19 08:00:00 AM,7.0,41.72,,,,,
270,07/18/19 08:15:00 AM,7.8,41.79,,,,,
271,07/18/19 08:30:00 AM,7.8,41.85,,,,,
272,07/18/19 08:45:00 AM,7.8,41.99,,,,,
273,07/18/19 09:00:00 AM,7.0,42.30,,,,,
274,07/18/19 09:15:00 AM,7.8,42.73,,,,,
275,07/18/19 09:30:00 AM,7.8,43.07,,,,,
276,07/18/19 09:45:00 AM,7.8,43.54,,,,,
277,07/18/19 10:00:00 AM,7.8,43.97,,,,,
278,07/18/19 10:15:00 AM,7.8,44.51,,,,,
279,07/18/19 10:30:00 AM,7.8,44.98,,,,,
280,07/18/19 10:45:00 AM,7.8,45.45,,,,,
281,07/18/19 11:00:00 AM,7.8,46.11,,,,,
282,07/18/19 11:15:00 AM,7.8,46.78,,,,,
283,07/18/19 11:30:00 AM,7.8,47.32,,,,,
284,07/18/19 11:45:00 AM,7.8,47.77,,,,,
285,07/18/19 12:00:00 PM,7.8,47.97,,,,,
286,07/18/19 12:15:00 PM,7.8,48.42,,,,,
287,07/18/19 12:30:00 PM,7.8,49.24,,,,,
288,07/18/19 12:45:00 PM,7.7,49.87,,,,,
289,07/18/19 01:00:00 PM,7.7,50.38,,,,,
290,07/18/19 01:15:00 PM,7.7,50.52,,,,,
291,07/18/19 01:30:00 PM,7.7,50.58,,,,,
292,07/18/19 01:45:00 PM,7.7,51.12,,,,,
293,07/18/19 02:00:00 PM,7.7,51.21,,,,,
294,07/18/19 02:01:32 PM,,,,Logged,,,
295,07/18/19 02:02:01 PM,,,,,Logged,,
296,07/18/19 02:03:24 PM,,,Logged,,,,
297,07/18/19 02:15:00 PM,7.0,51.04,,,,,
298,07/18/19 02:30:00 PM,7.7,51.22,,,,,
299,07/18/19 02:45:00 PM,7.7,51.22,,,,,
300,07/18/19 03:00:00 PM,7.7,51.30,,,,,
301,07/18/19 03:15:00 PM,7.7,51.48,,,,,
302,07/18/19 03:30:00 PM,7.7,51.51,,,,,
303,07/18/19 03:45:00 PM,7.7,51.58,,,,,
304,07/18/19 04:00:00 PM,7.7,51.57,,,,,
305,07/18/19 04:15:00 PM,7.7,51.44,,,,,
306,07/18/19 04:30:00 PM,7.7,51.33,,,,,
307,07/18/19 04:45:00 PM,7.0,51.21,,,,,
308,07/18/19 05:00:00 PM,7.0,50.88,,,,,
309,07/18/19 05:15:00 PM,7.0,50.43,,,,,
310,07/18/19 05:30:00 PM,7.7,50.07,,,,,
311,07/18/19 05:45:00 PM,7.7,49.69,,,,,
312,07/18/19 06:00:00 PM,7.8,49.32,,,,,
313,07/18/19 06:15:00 PM,7.0,48.96,,,,,
314,07/18/19 06:30:00 PM,7.8,48.58,,,,,
315,07/18/19 06:45:00 PM,7.8,48.27,,,,,
316,07/18/19 07:00:00 PM,7.8,47.97,,,,,
317,07/18/19 07:15:00 PM,7.8,47.70,,,,,
318,07/18/19 07:30:00 PM,7.0,47.46,,,,,
319,07/18/19 07:45:00 PM,7.8,47.25,,,,,
320,07/18/19 08:00:00 PM,7.8,47.05,,,,,
321,07/18/19 08:15:00 PM,7.8,46.87,,,,,
322,07/18/19 08:30:00 PM,7.8,46.71,,,,,
323,07/18/19 08:45:00 PM,7.8,46.54,,,,,
324,07/18/19 09:00:00 PM,7.8,46.38,,,,,
325,07/18/19 09:15:00 PM,7.8,46.18,,,,,
326,07/18/19 09:30:00 PM,7.8,46.02,,,,,
327,07/18/19 09:45:00 PM,7.8,45.88,,,,,
328,07/18/19 10:00:00 PM,7.8,45.70,,,,,
329,07/18/19 10:15:00 PM,7.8,45.52,,,,,
330,07/18/19 10:30:00 PM,7.8,45.39,,,,,
331,07/18/19 10:45:00 PM,7.8,45.18,,,,,
332,07/18/19 11:00:00 PM,7.8,45.05,,,,,
333,07/18/19 11:15:00 PM,7.8,44.89,,,,,
334,07/18/19 11:30:00 PM,7.8,44.74,,,,,
335,07/18/19 11:45:00 PM,7.8,44.58,,,,,
336,07/19/19 12:00:00 AM,7.8,44.46,,,,,
337,07/19/19 12:15:00 AM,8.2,44.35,,,,,
338,07/19/19 12:30:00 AM,7.8,44.28,,,,,
339,07/19/19 12:45:00 AM,7.8,44.22,,,,,
340,07/19/19 01:00:00 AM,7.8,44.15,,,,,
