"","ele","time","magvar","geoidheight","name","cmt","desc","src","link1_href","link1_text","link1_type","link2_href","link2_text","link2_type","sym","type","fix","sat","hdop","vdop","pdop","ageofdgpsdata","dgpsid","geometry"
"73",3525.112549,"2019/07/06 18:56:38+00",NA,NA,"063",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.260783, -0.268176)
"74",3513.785645,"2019/07/06 18:57:16+00",NA,NA,"064",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.265995, -0.268326)
"75",3513.664062,"2019/07/06 18:57:23+00",NA,NA,"065",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.267001, -0.268334)
"76",3509.003906,"2019/07/06 18:57:41+00",NA,NA,"066",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.270654, -0.267475)
"77",3484.713867,"2019/07/06 18:58:10+00",NA,NA,"067",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.274319, -0.26873)
"78",3479.354004,"2019/07/06 18:58:16+00",NA,NA,"068",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.275126, -0.268484)
"79",3459.341064,"2019/07/06 18:58:33+00",NA,NA,"069",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.276836, -0.267657)
"80",3456.366455,"2019/07/06 18:59:03+00",NA,NA,"070",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.279435, -0.266301)
"81",3326.839844,"2019/07/06 18:59:52+00",NA,NA,"071",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.282325, -0.266809)
"82",3313.251709,"2019/07/06 19:00:27+00",NA,NA,"072",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.286053, -0.265699)
"83",3310.00415,"2019/07/06 19:01:21+00",NA,NA,"073",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.292163, -0.26132)
"84",3305.297607,"2019/07/06 19:02:06+00",NA,NA,"074",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.296821, -0.258473)
"85",2596.45874,"2019/07/06 19:11:53+00",NA,NA,"075",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.342872, -0.22974)
"86",2573.644531,"2019/07/06 19:13:03+00",NA,NA,"076",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.348758, -0.224254)
"87",2411.968506,"2019/07/06 19:18:10+00",NA,NA,"077",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.38149, -0.216163)
"88",2408.886963,"2019/07/06 19:18:15+00",NA,NA,"078",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.382246, -0.216456)
"89",2406.697021,"2019/07/06 19:18:19+00",NA,NA,"079",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.382909, -0.216714)
"90",2405.877686,"2019/07/06 19:18:20+00",NA,NA,"080",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.383111, -0.216791)
"91",2403.249023,"2019/07/06 19:18:25+00",NA,NA,"081",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.384046, -0.217143)
"92",2308.901123,"2019/07/06 19:21:55+00",NA,NA,"082",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.422594, -0.220905)
