Date,Time,Volts
6/18/2019,11:26:57 AM,0.2525
6/18/2019,11:27:02 AM,0.2555
6/18/2019,11:27:07 AM,0.259
6/18/2019,11:27:12 AM,0.2635
6/18/2019,11:27:17 AM,0.268
6/18/2019,11:27:22 AM,0.273
6/18/2019,11:27:27 AM,0.2765
6/18/2019,11:27:32 AM,0.2795
6/18/2019,11:27:37 AM,0.283
6/18/2019,11:27:42 AM,0.286
6/18/2019,11:27:47 AM,0.29
6/18/2019,11:27:52 AM,0.2935
6/18/2019,11:27:57 AM,0.298
6/18/2019,11:28:02 AM,0.302
6/18/2019,11:28:07 AM,0.3055
6/18/2019,11:28:12 AM,0.3095
6/18/2019,11:28:17 AM,0.3135
6/18/2019,11:28:22 AM,0.3175
6/18/2019,11:28:27 AM,0.3205
6/18/2019,11:28:32 AM,0.3235
6/18/2019,11:28:37 AM,0.3275
6/18/2019,11:28:42 AM,0.331
6/18/2019,11:28:47 AM,0.335
6/18/2019,11:28:52 AM,0.3375
6/18/2019,11:28:57 AM,0.3405
6/18/2019,11:29:02 AM,0.3435
6/18/2019,11:29:07 AM,0.347
6/18/2019,11:29:12 AM,0.35
6/18/2019,11:29:17 AM,0.352
6/18/2019,11:29:22 AM,0.3545
6/18/2019,11:29:27 AM,0.3575
6/18/2019,11:29:32 AM,0.361
6/18/2019,11:29:37 AM,0.3645
6/18/2019,11:29:42 AM,0.366
6/18/2019,11:29:47 AM,0.368
6/18/2019,11:29:52 AM,0.3695
6/18/2019,11:29:57 AM,0.371
6/18/2019,11:30:02 AM,0.3735
6/18/2019,11:30:07 AM,0.3765
6/18/2019,11:30:12 AM,0.38
6/18/2019,11:30:17 AM,0.3815
6/18/2019,11:30:22 AM,0.382
6/18/2019,11:30:27 AM,0.383
6/18/2019,11:30:32 AM,0.385
6/18/2019,11:30:37 AM,0.3885
6/18/2019,11:30:42 AM,0.3925
6/18/2019,11:30:47 AM,0.3955
6/18/2019,11:30:52 AM,0.3975
6/18/2019,11:30:57 AM,0.4
6/18/2019,11:31:02 AM,0.4015
6/18/2019,11:31:07 AM,0.4035
6/18/2019,11:31:12 AM,0.406
6/18/2019,11:31:17 AM,0.41
6/18/2019,11:31:22 AM,0.4135
6/18/2019,11:31:27 AM,0.4155
6/18/2019,11:31:32 AM,0.416
6/18/2019,11:31:37 AM,0.4175
6/18/2019,11:31:42 AM,0.419
6/18/2019,11:31:47 AM,0.4215
6/18/2019,11:31:52 AM,0.424
6/18/2019,11:31:57 AM,0.4265
6/18/2019,11:32:02 AM,0.429
6/18/2019,11:32:07 AM,0.4335
6/18/2019,11:32:12 AM,0.4385
6/18/2019,11:32:17 AM,0.4425
6/18/2019,11:32:22 AM,0.445
6/18/2019,11:32:27 AM,0.4465
6/18/2019,11:32:32 AM,0.4485
6/18/2019,11:32:37 AM,0.451
6/18/2019,11:32:42 AM,0.4535
6/18/2019,11:32:47 AM,0.4565
6/18/2019,11:32:52 AM,0.4595
6/18/2019,11:32:57 AM,0.4615
6/18/2019,11:33:02 AM,0.462
6/18/2019,11:33:07 AM,0.4635
6/18/2019,11:33:12 AM,0.467
6/18/2019,11:33:17 AM,0.471
6/18/2019,11:33:22 AM,0.474
6/18/2019,11:33:27 AM,0.4765
6/18/2019,11:33:32 AM,0.4775
6/18/2019,11:33:37 AM,0.478
6/18/2019,11:33:42 AM,0.4795
6/18/2019,11:33:47 AM,0.482
6/18/2019,11:33:52 AM,0.4845
6/18/2019,11:33:57 AM,0.485
6/18/2019,11:34:02 AM,0.4855
6/18/2019,11:34:07 AM,0.486
6/18/2019,11:34:12 AM,0.4875
6/18/2019,11:34:17 AM,0.4885
6/18/2019,11:34:22 AM,0.489
6/18/2019,11:34:27 AM,0.4905
6/18/2019,11:34:32 AM,0.492
6/18/2019,11:34:37 AM,0.4935
6/18/2019,11:34:42 AM,0.4945
6/18/2019,11:34:47 AM,0.496
6/18/2019,11:34:52 AM,0.4985
6/18/2019,11:34:57 AM,0.501
6/18/2019,11:35:02 AM,0.5025
6/18/2019,11:35:07 AM,0.5035
6/18/2019,11:35:12 AM,0.5045
6/18/2019,11:35:17 AM,0.506
6/18/2019,11:35:22 AM,0.507
6/18/2019,11:35:27 AM,0.508
6/18/2019,11:35:32 AM,0.51
6/18/2019,11:35:37 AM,0.511
6/18/2019,11:35:42 AM,0.512
6/18/2019,11:35:47 AM,0.5115
6/18/2019,11:35:52 AM,0.5125
6/18/2019,11:35:57 AM,0.513
6/18/2019,11:36:02 AM,0.514
6/18/2019,11:36:07 AM,0.5155
6/18/2019,11:36:12 AM,0.5165
6/18/2019,11:36:17 AM,0.518
6/18/2019,11:36:22 AM,0.52
6/18/2019,11:36:27 AM,0.523
6/18/2019,11:36:32 AM,0.525
6/18/2019,11:36:37 AM,0.527
6/18/2019,11:36:42 AM,0.528
6/18/2019,11:36:47 AM,0.529
6/18/2019,11:36:52 AM,0.5295
6/18/2019,11:36:57 AM,0.531
6/18/2019,11:37:02 AM,0.532
6/18/2019,11:37:07 AM,0.533
6/18/2019,11:37:12 AM,0.5345
6/18/2019,11:37:17 AM,0.5365
6/18/2019,11:37:22 AM,0.5385
6/18/2019,11:37:27 AM,0.5415
6/18/2019,11:37:32 AM,0.5445
6/18/2019,11:37:37 AM,0.547
6/18/2019,11:37:42 AM,0.548
6/18/2019,11:37:47 AM,0.549
6/18/2019,11:37:52 AM,0.5505
6/18/2019,11:37:57 AM,0.5515
6/18/2019,11:38:02 AM,0.5535
6/18/2019,11:38:07 AM,0.557
6/18/2019,11:38:12 AM,0.56
6/18/2019,11:38:17 AM,0.5605
6/18/2019,11:38:22 AM,0.56
6/18/2019,11:38:27 AM,0.56
6/18/2019,11:38:32 AM,0.56
6/18/2019,11:38:37 AM,0.559
6/18/2019,11:38:42 AM,0.5585
6/18/2019,11:38:47 AM,0.5575
6/18/2019,11:38:52 AM,0.5575
6/18/2019,11:38:57 AM,0.5585
6/18/2019,11:39:02 AM,0.5595
6/18/2019,11:39:07 AM,0.56
6/18/2019,11:39:12 AM,0.561
6/18/2019,11:39:17 AM,0.562
