"","DateTime","Inj","V1","V2","V3","V4","V4_adjusted"
"199",2019-07-11 04:05:00,"No",NA,NA,NA,NA,NA
"200",2019-07-11 04:10:00,"No",NA,NA,NA,NA,NA
"201",2019-07-11 04:15:00,"No",2505,2475,1827.5,1780.27353426825,1780.27353426825
"202",2019-07-11 04:20:00,"No",NA,NA,NA,NA,NA
"203",2019-07-11 04:25:00,"No",NA,NA,NA,NA,NA
"204",2019-07-11 04:30:00,"No",2520,2485,1832.5,1844.21735582546,1844.21735582546
"205",2019-07-11 04:35:00,"No",NA,NA,NA,NA,NA
"206",2019-07-11 04:40:00,"No",NA,NA,NA,NA,NA
"207",2019-07-11 04:45:00,"No",2535,2510,1887.5,1796.25948965756,1796.25948965756
"208",2019-07-11 04:50:00,"No",NA,NA,NA,NA,NA
"209",2019-07-11 04:55:00,"No",NA,NA,NA,NA,NA
"210",2019-07-11 05:00:00,"No",2545,2480,1877.5,1796.25948965756,1796.25948965756
"211",2019-07-11 05:05:00,"No",NA,NA,NA,NA,NA
"212",2019-07-11 05:10:00,"No",NA,NA,NA,NA,NA
"213",2019-07-11 05:15:00,"No",2540,2500,1852.5,1796.25948965756,1796.25948965756
"214",2019-07-11 05:20:00,"No",NA,NA,NA,NA,NA
"215",2019-07-11 05:25:00,"No",NA,NA,NA,NA,NA
"216",2019-07-11 05:30:00,"No",2545,2500,1862.5,1812.24544504686,1812.24544504686
"217",2019-07-11 05:35:00,"No",NA,NA,NA,NA,NA
"218",2019-07-11 05:40:00,"No",NA,NA,NA,NA,NA
"219",2019-07-11 05:45:00,"No",2550,2510,1852.5,1828.23140043616,1828.23140043616
"220",2019-07-11 05:50:00,"No",NA,NA,NA,NA,NA
"221",2019-07-11 05:55:00,"No",NA,NA,NA,NA,NA
"222",2019-07-11 06:00:00,"No",2545,2510,1837.5,1828.23140043616,1828.23140043616
"223",2019-07-11 06:05:00,"No",NA,NA,NA,NA,NA
"224",2019-07-11 06:10:00,"No",NA,NA,NA,NA,NA
"225",2019-07-11 06:15:00,"No",2560,2515,1907.5,1812.24544504686,1812.24544504686
"226",2019-07-11 06:20:00,"No",NA,NA,NA,NA,NA
"227",2019-07-11 06:25:00,"No",NA,NA,NA,NA,NA
"228",2019-07-11 06:30:00,"No",2545,2525,1852.5,1812.24544504686,1812.24544504686
"229",2019-07-11 06:35:00,"No",NA,NA,NA,NA,NA
"230",2019-07-11 06:40:00,"No",NA,NA,NA,NA,NA
"231",2019-07-11 06:45:00,"No",2560,2510,1912.5,1844.21735582546,1844.21735582546
"232",2019-07-11 06:50:00,"No",NA,NA,NA,NA,NA
"233",2019-07-11 06:55:00,"No",NA,NA,NA,NA,NA
"234",2019-07-11 07:00:00,"No",2555,2485,1847.5,1796.25948965756,1796.25948965756
"235",2019-07-11 07:05:00,"No",NA,NA,NA,NA,NA
"236",2019-07-11 07:10:00,"No",NA,NA,NA,NA,NA
"237",2019-07-11 07:15:00,"No",2515,2465,1877.5,1748.30162348965,1748.30162348965
"238",2019-07-11 07:20:00,"No",NA,NA,NA,NA,NA
"239",2019-07-11 07:25:00,"No",NA,NA,NA,NA,NA
"240",2019-07-11 07:30:00,"No",2505,2450,1867.5,1812.24544504686,1812.24544504686
"241",2019-07-11 07:35:00,"No",NA,NA,NA,NA,NA
"242",2019-07-11 07:40:00,"No",NA,NA,NA,NA,NA
"243",2019-07-11 07:45:00,"No",2490,2455,1837.5,1780.27353426825,1780.27353426825
"244",2019-07-11 07:50:00,"No",NA,NA,NA,NA,NA
"245",2019-07-11 07:55:00,"No",NA,NA,NA,NA,NA
"246",2019-07-11 08:00:00,"No",2455,2415,1817.5,1764.28757887895,1764.28757887895
"247",2019-07-11 08:05:00,"No",NA,NA,NA,NA,NA
"248",2019-07-11 08:10:00,"No",NA,NA,NA,NA,NA
"249",2019-07-11 08:15:00,"No",2450,2380,1802.5,1796.25948965756,1796.25948965756
"250",2019-07-11 08:20:00,"No",NA,NA,NA,NA,NA
"251",2019-07-11 08:25:00,"No",NA,NA,NA,NA,NA
"252",2019-07-11 08:30:00,"No",2435,2375,1802.5,1764.28757887895,1764.28757887895
"253",2019-07-11 08:35:00,"No",NA,NA,NA,NA,NA
"254",2019-07-11 08:40:00,"No",NA,NA,NA,NA,NA
"255",2019-07-11 08:45:00,"No",2415,2385,1802.5,1748.30162348965,1748.30162348965
"256",2019-07-11 08:50:00,"No",NA,NA,NA,NA,NA
"257",2019-07-11 08:55:00,"No",NA,NA,NA,NA,NA
"258",2019-07-11 09:00:00,"No",2395,2335,1812.5,1732.31566810035,1732.31566810035
"259",2019-07-11 09:05:00,"No",NA,NA,NA,NA,NA
"260",2019-07-11 09:10:00,"No",NA,NA,NA,NA,NA
"261",2019-07-11 09:15:00,"No",2370,2320,1752.5,1684.35780193245,1684.35780193245
"262",2019-07-11 09:20:00,"No",NA,NA,NA,NA,NA
"263",2019-07-11 09:25:00,"No",NA,NA,NA,NA,NA
"264",2019-07-11 09:30:00,"No",2320,2300,1667.5,1716.32971271105,1716.32971271105
"265",2019-07-11 09:35:00,"No",NA,NA,NA,NA,NA
"266",2019-07-11 09:40:00,"No",NA,NA,NA,NA,NA
"267",2019-07-11 09:45:00,"No",2290,2250,1742.5,1684.35780193245,1684.35780193245
"268",2019-07-11 09:50:00,"No",NA,NA,NA,NA,NA
"269",2019-07-11 09:55:00,"No",NA,NA,NA,NA,NA
"270",2019-07-11 10:00:00,"No",2270,2235,1682.5,1636.39993576454,1636.39993576454
"271",2019-07-11 10:05:00,"No",NA,NA,NA,NA,NA
"272",2019-07-11 10:10:00,"No",NA,NA,NA,NA,NA
"273",2019-07-11 10:15:00,"No",2255,2215,1677.5,1668.37184654315,1668.37184654315
"274",2019-07-11 10:20:00,"No",NA,NA,NA,NA,NA
"275",2019-07-11 10:25:00,"No",NA,NA,NA,NA,NA
"276",2019-07-11 10:30:00,"No",2220,2195,1652.5,1588.44206959664,1588.44206959664
"277",2019-07-11 10:35:00,"No",NA,NA,NA,NA,NA
"278",2019-07-11 10:40:00,"No",NA,NA,NA,NA,NA
"279",2019-07-11 10:45:00,"No",2200,2175,1617.5,1636.39993576454,1636.39993576454
"280",2019-07-11 10:50:00,"No",NA,NA,NA,NA,NA
"281",2019-07-11 10:55:00,"No",NA,NA,NA,NA,NA
"282",2019-07-11 11:00:00,"No",2180,2135,1562.5,1572.45611420734,1572.45611420734
"283",2019-07-11 11:05:00,"No",NA,NA,NA,NA,NA
"284",2019-07-11 11:10:00,"No",NA,NA,NA,NA,NA
"285",2019-07-11 11:15:00,"No",2140,2125,1582.5,1572.45611420734,1572.45611420734
"286",2019-07-11 11:20:00,"No",NA,NA,NA,NA,NA
"287",2019-07-11 11:25:00,"No",NA,NA,NA,NA,NA
"288",2019-07-11 11:30:00,"No",2120,2090,1542.5,1572.45611420734,1572.45611420734
"289",2019-07-11 11:35:00,"No",NA,NA,NA,NA,NA
"290",2019-07-11 11:40:00,"No",NA,NA,NA,NA,NA
"291",2019-07-11 11:45:00,"No",2100,2065,1487.5,1508.51229265014,1508.51229265014
"292",2019-07-11 11:48:00,"No",NA,NA,NA,NA,NA
"293",2019-07-11 11:50:00,"No",NA,NA,NA,NA,NA
"294",2019-07-11 11:55:00,"No",NA,NA,NA,NA,NA
"295",2019-07-11 12:00:00,"No",2070,2040,1492.5,1540.48420342874,1540.48420342874
"296",2019-07-11 12:03:00,"No",NA,NA,NA,NA,NA
"297",2019-07-11 12:05:00,"No",NA,NA,NA,NA,NA
"298",2019-07-11 12:10:00,"No",NA,NA,NA,NA,NA
"299",2019-07-11 12:15:00,"No",2065,2000,1467.5,1508.51229265014,1508.51229265014
"300",2019-07-11 12:18:00,"No",NA,NA,NA,NA,NA
"301",2019-07-11 12:20:00,"No",NA,NA,NA,NA,NA
"302",2019-07-11 12:25:00,"No",NA,NA,NA,NA,NA
"303",2019-07-11 12:30:00,"No",2035,1985,1362.5,1508.51229265014,1508.51229265014
"304",2019-07-11 12:33:00,"No",NA,NA,NA,NA,NA
"305",2019-07-11 12:35:00,"No",NA,NA,NA,NA,NA
"306",2019-07-11 12:40:00,"No",NA,NA,NA,NA,NA
"307",2019-07-11 12:45:00,"No",1990,1990,1327.5,1508.51229265014,1508.51229265014
"308",2019-07-11 12:48:00,"No",NA,NA,NA,NA,NA
"309",2019-07-11 12:50:00,"No",NA,NA,NA,NA,NA
"310",2019-07-11 12:55:00,"No",NA,NA,NA,NA,NA
"311",2019-07-11 13:00:00,"No",1995,1955,1337.5,1444.56847109293,1444.56847109293
