"Plot Title: EC1"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)","Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)","Specific Conductance, μS/cm (LGR S/N: 20636125)","Coupler Detached (LGR S/N: 20636125)","Coupler Attached (LGR S/N: 20636125)","Host Connected (LGR S/N: 20636125)","End Of File (LGR S/N: 20636125)"
298,07/19/19 01:45:00 PM,6.9,9.65,9.9,,,,
299,07/19/19 02:00:00 PM,6.9,9.75,9.9,,,,
300,07/19/19 02:15:00 PM,6.9,10.00,9.9,,,,
301,07/19/19 02:26:23 PM,,,,,Logged,,
302,07/19/19 02:26:31 PM,,,,,,Logged,
303,07/19/19 02:27:04 PM,,,,Logged,,,
304,07/19/19 02:30:00 PM,6.9,10.16,9.8,,,,
305,07/19/19 02:45:00 PM,7.7,10.03,11.0,,,,
306,07/19/19 03:00:00 PM,6.9,9.85,9.9,,,,
307,07/19/19 03:15:00 PM,7.7,9.66,11.1,,,,
308,07/19/19 03:30:00 PM,6.9,9.59,10.0,,,,
309,07/19/19 03:45:00 PM,6.9,9.53,10.0,,,,
310,07/19/19 04:00:00 PM,7.0,9.37,10.2,,,,
311,07/19/19 04:15:00 PM,7.0,9.24,10.2,,,,
312,07/19/19 04:30:00 PM,7.0,9.14,10.2,,,,
313,07/19/19 04:45:00 PM,7.0,8.98,10.3,,,,
314,07/19/19 05:00:00 PM,7.0,8.87,10.3,,,,
315,07/19/19 05:15:00 PM,7.7,8.68,11.4,,,,
316,07/19/19 05:30:00 PM,7.0,8.53,10.4,,,,
317,07/19/19 05:45:00 PM,7.0,8.39,10.4,,,,
318,07/19/19 06:00:00 PM,7.0,8.27,10.5,,,,
319,07/19/19 06:15:00 PM,7.0,8.11,10.5,,,,
320,07/19/19 06:30:00 PM,7.0,7.97,10.6,,,,
321,07/19/19 06:45:00 PM,7.0,7.83,10.6,,,,
322,07/19/19 07:00:00 PM,7.0,7.73,10.6,,,,
323,07/19/19 07:15:00 PM,7.0,7.63,10.7,,,,
324,07/19/19 07:30:00 PM,7.0,7.53,10.7,,,,
325,07/19/19 07:45:00 PM,7.7,7.45,11.8,,,,
326,07/19/19 08:00:00 PM,7.0,7.37,10.7,,,,
327,07/19/19 08:15:00 PM,7.0,7.28,10.8,,,,
328,07/19/19 08:30:00 PM,7.0,7.20,10.8,,,,
329,07/19/19 08:45:00 PM,7.0,7.14,10.8,,,,
330,07/19/19 09:00:00 PM,7.0,7.08,10.8,,,,
331,07/19/19 09:15:00 PM,7.0,7.02,10.9,,,,
332,07/19/19 09:30:00 PM,7.0,6.98,10.9,,,,
333,07/19/19 09:45:00 PM,7.0,6.96,10.9,,,,
334,07/19/19 10:00:00 PM,7.0,6.92,10.9,,,,
335,07/19/19 10:15:00 PM,7.0,6.87,10.9,,,,
336,07/19/19 10:30:00 PM,7.0,6.84,10.9,,,,
337,07/19/19 10:45:00 PM,7.7,6.77,12.0,,,,
338,07/19/19 11:00:00 PM,7.7,6.73,12.0,,,,
339,07/19/19 11:15:00 PM,7.0,6.67,11.0,,,,
340,07/19/19 11:30:00 PM,7.0,6.61,11.0,,,,
341,07/19/19 11:45:00 PM,7.0,6.53,11.0,,,,
342,07/20/19 12:00:00 AM,7.7,6.48,12.1,,,,
343,07/20/19 12:15:00 AM,7.0,6.46,11.0,,,,
344,07/20/19 12:30:00 AM,7.7,6.42,12.1,,,,
345,07/20/19 12:45:00 AM,7.0,6.35,11.1,,,,
346,07/20/19 01:00:00 AM,7.0,6.32,11.1,,,,
347,07/20/19 01:15:00 AM,7.0,6.28,11.1,,,,
348,07/20/19 01:30:00 AM,7.0,6.24,11.1,,,,
349,07/20/19 01:45:00 AM,7.0,6.22,11.1,,,,
350,07/20/19 02:00:00 AM,7.0,6.18,11.1,,,,
351,07/20/19 02:15:00 AM,7.0,6.14,11.1,,,,
352,07/20/19 02:30:00 AM,7.0,6.08,11.2,,,,
353,07/20/19 02:45:00 AM,7.0,6.04,11.2,,,,
354,07/20/19 03:00:00 AM,7.0,6.00,11.2,,,,
355,07/20/19 03:15:00 AM,7.0,5.97,11.2,,,,
356,07/20/19 03:30:00 AM,7.0,5.91,11.2,,,,
