"Plot Title: EC Logger 2"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °C (LGR S/N: 20636127, SEN S/N: 20636127)","Coupler Detached (LGR S/N: 20636127)","Coupler Attached (LGR S/N: 20636127)","Host Connected (LGR S/N: 20636127)","Stopped (LGR S/N: 20636127)","End Of File (LGR S/N: 20636127)"
262,07/15/19 11:33:42 AM,7.4,5.47,,,,,
263,07/15/19 11:33:43 AM,7.4,5.46,,,,,
264,07/15/19 11:33:44 AM,7.4,5.47,,,,,
265,07/15/19 11:33:45 AM,7.4,5.47,,,,,
266,07/15/19 11:33:46 AM,7.8,5.46,,,,,
267,07/15/19 11:33:47 AM,7.4,5.46,,,,,
268,07/15/19 11:33:48 AM,6.7,5.46,,,,,
269,07/15/19 11:33:49 AM,7.4,5.47,,,,,
270,07/15/19 11:33:50 AM,7.4,5.46,,,,,
271,07/15/19 11:33:51 AM,7.4,5.47,,,,,
272,07/15/19 11:33:52 AM,7.4,5.47,,,,,
273,07/15/19 11:33:53 AM,7.4,5.47,,,,,
274,07/15/19 11:33:54 AM,6.7,5.47,,,,,
275,07/15/19 11:33:55 AM,7.4,5.47,,,,,
276,07/15/19 11:33:56 AM,7.4,5.49,,,,,
277,07/15/19 11:33:57 AM,7.4,5.47,,,,,
278,07/15/19 11:33:58 AM,7.4,5.46,,,,,
279,07/15/19 11:33:59 AM,7.4,5.47,,,,,
280,07/15/19 11:34:00 AM,7.4,5.47,,,,,
281,07/15/19 11:34:01 AM,7.4,5.47,,,,,
282,07/15/19 11:34:02 AM,7.4,5.46,,,,,
283,07/15/19 11:34:03 AM,7.4,5.46,,,,,
284,07/15/19 11:34:04 AM,7.4,5.46,,,,,
285,07/15/19 11:34:05 AM,7.4,5.47,,,,,
286,07/15/19 11:34:06 AM,7.4,5.46,,,,,
287,07/15/19 11:34:07 AM,7.4,5.47,,,,,
288,07/15/19 11:34:08 AM,7.4,5.46,,,,,
289,07/15/19 11:34:09 AM,6.7,5.47,,,,,
290,07/15/19 11:34:10 AM,7.4,5.46,,,,,
291,07/15/19 11:34:11 AM,7.4,5.46,,,,,
292,07/15/19 11:34:12 AM,7.4,5.46,,,,,
293,07/15/19 11:34:13 AM,7.4,5.46,,,,,
294,07/15/19 11:34:14 AM,7.4,5.47,,,,,
295,07/15/19 11:34:15 AM,7.4,5.47,,,,,
296,07/15/19 11:34:16 AM,7.4,5.46,,,,,
297,07/15/19 11:34:17 AM,7.4,5.47,,,,,
298,07/15/19 11:34:18 AM,7.4,5.46,,,,,
299,07/15/19 11:34:19 AM,7.4,5.46,,,,,
300,07/15/19 11:34:20 AM,7.4,5.47,,,,,
301,07/15/19 11:34:21 AM,7.4,5.47,,,,,
302,07/15/19 11:34:22 AM,7.4,5.47,,,,,
303,07/15/19 11:34:23 AM,7.4,5.46,,,,,
304,07/15/19 11:34:24 AM,6.7,5.47,,,,,
305,07/15/19 11:34:25 AM,6.7,5.49,,,,,
306,07/15/19 11:34:26 AM,7.4,5.46,,,,,
307,07/15/19 11:34:27 AM,7.4,5.46,,,,,
308,07/15/19 11:34:28 AM,7.4,5.46,,,,,
309,07/15/19 11:34:29 AM,7.4,5.47,,,,,
310,07/15/19 11:34:30 AM,7.4,5.49,,,,,
311,07/15/19 11:34:31 AM,7.4,5.46,,,,,
312,07/15/19 11:34:32 AM,7.4,5.46,,,,,
313,07/15/19 11:34:33 AM,7.8,5.47,,,,,
314,07/15/19 11:34:34 AM,7.4,5.47,,,,,
315,07/15/19 11:34:35 AM,7.4,5.46,,,,,
316,07/15/19 11:34:36 AM,7.4,5.47,,,,,
317,07/15/19 11:34:37 AM,7.0,5.47,,,,,
318,07/15/19 11:34:38 AM,7.4,5.47,,,,,
319,07/15/19 11:34:39 AM,7.8,5.47,,,,,
320,07/15/19 11:34:40 AM,7.4,5.47,,,,,
321,07/15/19 11:34:41 AM,7.8,5.47,,,,,
322,07/15/19 11:34:42 AM,7.4,5.47,,,,,
323,07/15/19 11:34:43 AM,7.4,5.46,,,,,
324,07/15/19 11:34:44 AM,6.7,5.47,,,,,
325,07/15/19 11:34:45 AM,7.4,5.47,,,,,
326,07/15/19 11:34:46 AM,7.4,5.47,,,,,
327,07/15/19 11:34:47 AM,7.8,5.47,,,,,
328,07/15/19 11:34:48 AM,7.4,5.47,,,,,
329,07/15/19 11:34:49 AM,7.4,5.47,,,,,
330,07/15/19 11:34:50 AM,7.4,5.49,,,,,
331,07/15/19 11:34:51 AM,7.4,5.46,,,,,
332,07/15/19 11:34:52 AM,7.4,5.47,,,,,
333,07/15/19 11:34:53 AM,6.7,5.47,,,,,
334,07/15/19 11:34:54 AM,7.4,5.47,,,,,
335,07/15/19 11:34:55 AM,7.4,5.47,,,,,
336,07/15/19 11:34:56 AM,7.4,5.47,,,,,
337,07/15/19 11:34:57 AM,7.0,5.49,,,,,
338,07/15/19 11:34:58 AM,7.4,5.47,,,,,
339,07/15/19 11:34:59 AM,6.7,5.47,,,,,
340,07/15/19 11:35:00 AM,7.4,5.45,,,,,
341,07/15/19 11:35:01 AM,7.8,5.47,,,,,
342,07/15/19 11:35:02 AM,7.4,5.46,,,,,
343,07/15/19 11:35:03 AM,7.4,5.47,,,,,
344,07/15/19 11:35:04 AM,7.4,5.47,,,,,
345,07/15/19 11:35:05 AM,7.4,5.49,,,,,
346,07/15/19 11:35:06 AM,7.4,5.47,,,,,
347,07/15/19 11:35:07 AM,7.4,5.47,,,,,
348,07/15/19 11:35:08 AM,7.4,5.46,,,,,
349,07/15/19 11:35:09 AM,7.4,5.47,,,,,
350,07/15/19 11:35:10 AM,7.4,5.47,,,,,
351,07/15/19 11:35:11 AM,7.4,5.47,,,,,
352,07/15/19 11:35:12 AM,7.8,5.47,,,,,
353,07/15/19 11:35:13 AM,7.8,5.49,,,,,
354,07/15/19 11:35:14 AM,7.4,5.47,,,,,
355,07/15/19 11:35:15 AM,7.4,5.47,,,,,
356,07/15/19 11:35:16 AM,7.4,5.46,,,,,
357,07/15/19 11:35:17 AM,7.4,5.47,,,,,
358,07/15/19 11:35:18 AM,6.7,5.47,,,,,
359,07/15/19 11:35:19 AM,7.4,5.46,,,,,
360,07/15/19 11:35:20 AM,7.4,5.47,,,,,
361,07/15/19 11:35:21 AM,7.8,5.46,,,,,
362,07/15/19 11:35:22 AM,7.4,5.46,,,,,
363,07/15/19 11:35:23 AM,7.8,5.47,,,,,
364,07/15/19 11:35:24 AM,7.4,5.47,,,,,
365,07/15/19 11:35:25 AM,7.4,5.46,,,,,
366,07/15/19 11:35:26 AM,7.4,5.47,,,,,
367,07/15/19 11:35:27 AM,7.4,5.47,,,,,
368,07/15/19 11:35:28 AM,7.4,5.47,,,,,
369,07/15/19 11:35:29 AM,7.4,5.46,,,,,
370,07/15/19 11:35:30 AM,7.4,5.47,,,,,
371,07/15/19 11:35:31 AM,7.4,5.47,,,,,
372,07/15/19 11:35:32 AM,7.4,5.47,,,,,
373,07/15/19 11:35:33 AM,7.4,5.46,,,,,
374,07/15/19 11:35:34 AM,7.0,5.47,,,,,
375,07/15/19 11:35:35 AM,7.4,5.47,,,,,
376,07/15/19 11:35:36 AM,6.7,5.47,,,,,
377,07/15/19 11:35:37 AM,7.4,5.47,,,,,
378,07/15/19 11:35:38 AM,7.4,5.46,,,,,
379,07/15/19 11:35:39 AM,7.4,5.46,,,,,
380,07/15/19 11:35:40 AM,7.4,5.47,,,,,
381,07/15/19 11:35:41 AM,6.7,5.47,,,,,
382,07/15/19 11:35:42 AM,7.0,5.46,,,,,
383,07/15/19 11:35:43 AM,7.8,5.46,,,,,
384,07/15/19 11:35:44 AM,7.4,5.50,,,,,
385,07/15/19 11:35:45 AM,7.4,5.47,,,,,
386,07/15/19 11:35:46 AM,6.7,5.46,,,,,
387,07/15/19 11:35:47 AM,7.4,5.47,,,,,
388,07/15/19 11:35:48 AM,7.4,5.47,,,,,
389,07/15/19 11:35:49 AM,6.7,5.47,,,,,
390,07/15/19 11:35:50 AM,7.4,5.47,,,,,
391,07/15/19 11:35:51 AM,7.4,5.46,,,,,
392,07/15/19 11:35:52 AM,6.7,5.49,,,,,
393,07/15/19 11:35:53 AM,7.8,5.47,,,,,
394,07/15/19 11:35:54 AM,7.4,5.47,,,,,
395,07/15/19 11:35:55 AM,7.4,5.46,,,,,
396,07/15/19 11:35:56 AM,7.4,5.47,,,,,
397,07/15/19 11:35:57 AM,7.0,5.47,,,,,
398,07/15/19 11:35:58 AM,7.8,5.46,,,,,
399,07/15/19 11:35:59 AM,7.4,5.46,,,,,
400,07/15/19 11:36:00 AM,7.4,5.47,,,,,
401,07/15/19 11:36:01 AM,6.7,5.46,,,,,
402,07/15/19 11:36:02 AM,7.4,5.46,,,,,
403,07/15/19 11:36:03 AM,7.4,5.47,,,,,
404,07/15/19 11:36:04 AM,7.8,5.47,,,,,
405,07/15/19 11:36:05 AM,7.4,5.46,,,,,
406,07/15/19 11:36:06 AM,7.4,5.46,,,,,
407,07/15/19 11:36:07 AM,7.4,5.47,,,,,
408,07/15/19 11:36:08 AM,7.4,5.46,,,,,
409,07/15/19 11:36:09 AM,6.7,5.47,,,,,
410,07/15/19 11:36:10 AM,7.4,5.47,,,,,
411,07/15/19 11:36:11 AM,7.4,5.46,,,,,
412,07/15/19 11:36:12 AM,7.8,5.47,,,,,
413,07/15/19 11:36:13 AM,7.4,5.47,,,,,
414,07/15/19 11:36:14 AM,7.4,5.47,,,,,
415,07/15/19 11:36:15 AM,6.7,5.46,,,,,
416,07/15/19 11:36:16 AM,7.8,5.47,,,,,
417,07/15/19 11:36:17 AM,7.4,5.47,,,,,
418,07/15/19 11:36:18 AM,7.4,5.47,,,,,
419,07/15/19 11:36:19 AM,7.4,5.47,,,,,
420,07/15/19 11:36:20 AM,7.4,5.47,,,,,
421,07/15/19 11:36:21 AM,7.4,5.46,,,,,
422,07/15/19 11:36:22 AM,7.4,5.47,,,,,
423,07/15/19 11:36:23 AM,7.8,5.47,,,,,
424,07/15/19 11:36:24 AM,7.8,5.47,,,,,
425,07/15/19 11:36:25 AM,7.4,5.47,,,,,
426,07/15/19 11:36:26 AM,7.4,5.49,,,,,
427,07/15/19 11:36:27 AM,7.4,5.47,,,,,
428,07/15/19 11:36:28 AM,7.4,5.46,,,,,
429,07/15/19 11:36:29 AM,6.7,5.46,,,,,
430,07/15/19 11:36:30 AM,7.4,5.46,,,,,
431,07/15/19 11:36:31 AM,7.4,5.46,,,,,
432,07/15/19 11:36:32 AM,7.4,5.46,,,,,
433,07/15/19 11:36:33 AM,7.4,5.47,,,,,
