Plot Title: EC1								
#	"Date Time, GMT-05:00"	"Full Range, ?S/cm (LGR S/N: 20636125, SEN S/N: 20636125)"	"Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)"	"Specific Conductance, ?S/cm (LGR S/N: 20636125)"	Coupler Detached (LGR S/N: 20636125)	Coupler Attached (LGR S/N: 20636125)	Host Connected (LGR S/N: 20636125)	End Of File (LGR S/N: 20636125)
461	7/21/2019 5:45	6.6	5.4	10.7				
462	7/21/2019 6:00	7	5.37	11.4				
463	7/21/2019 6:15	7	5.34	11.4				
464	7/21/2019 6:30	7	5.33	11.4				
465	7/21/2019 6:45	7	5.3	11.4				
466	7/21/2019 7:00	7	5.29	11.4				
467	7/21/2019 7:15	7	5.29	11.4				
468	7/21/2019 7:30	7	5.3	11.4				
469	7/21/2019 7:45	7	5.34	11.4				
470	7/21/2019 8:00	7	5.38	11.4				
471	7/21/2019 8:15	7	5.45	11.4				
472	7/21/2019 8:30	7	5.5	11.3				
473	7/21/2019 8:45	7	5.59	11.3				
474	7/21/2019 9:00	7	5.78	11.2				
475	7/21/2019 9:15	7	5.98	11.2				
476	7/21/2019 9:30	6.6	6.19	10.5				
477	7/21/2019 9:45	7	6.42	11				
478	7/21/2019 10:00	6.6	6.67	10.3				
479	7/21/2019 10:15	6.6	6.81	10.3				
480	7/21/2019 10:30	7	7.05	10.8				
481	7/21/2019 10:45	7	7.3	10.8				
482	7/21/2019 11:00	7	7.51	10.7				
483	7/21/2019 11:15	7	7.74	10.6				
484	7/21/2019 11:30	7	7.97	10.6				
485	7/21/2019 11:45	7	8.15	10.5				
486	7/21/2019 12:00	7	8.26	10.5				
487	7/21/2019 12:15	6.6	8.24	9.9				
488	7/21/2019 12:30	6.6	8.3	9.9				
489	7/21/2019 12:45	6.6	8.38	9.9				
490	7/21/2019 13:00	6.6	8.53	9.8				
491	7/21/2019 13:15	6.6	8.81	9.7				
492	7/21/2019 13:30	7.3	8.98	10.7				
493	7/21/2019 13:45	7.3	9.24	10.6				
494	7/21/2019 14:00	6.9	9.58	10				
495	7/21/2019 14:15	6.6	9.97	9.4				
496	7/21/2019 14:30	6.9	10.12	9.8				
497	7/21/2019 14:45	6.6	10.42	9.3				
498	7/21/2019 15:00	6.9	10.28	9.8				
499	7/21/2019 15:15	6.6	10.4	9.3				
500	7/21/2019 15:30	6.6	10.35	9.3				
501	7/21/2019 15:45	6.6	10.2	9.4				
502	7/21/2019 16:00	6.6	10.07	9.4				
503	7/21/2019 16:15	6.9	10.07	9.8				
504	7/21/2019 16:30	6.6	9.91	9.5				
505	7/21/2019 16:45	6.6	9.83	9.5				
506	7/21/2019 17:00	6.6	9.71	9.5				
507	7/21/2019 17:15	6.6	9.66	9.5				
508	7/21/2019 17:30	7.3	9.53	10.6				
509	7/21/2019 17:45	6.6	9.34	9.6				
510	7/21/2019 18:00	6.6	9.17	9.6				
511	7/21/2019 18:15	6.6	9	9.7				
512	7/21/2019 18:30	6.6	8.84	9.7				
513	7/21/2019 18:45	6.6	8.67	9.8				
514	7/21/2019 19:00	6.6	8.52	9.8				
515	7/21/2019 19:15	6.6	8.38	9.9				
516	7/21/2019 19:30	6.6	8.24	9.9				
517	7/21/2019 19:45	6.6	8.11	9.9				
518	7/21/2019 20:00	6.6	7.97	10				
519	7/21/2019 20:15	6.6	7.85	10				
520	7/21/2019 20:30	6.6	7.73	10				
521	7/21/2019 20:45	6.6	7.62	10.1				
